country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","21-02-2025 14:00:00",27.308328,84.531742,SO2,6,7,7
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","21-02-2025 14:00:00",26.63086,84.90051,PM10,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","21-02-2025 14:00:00",26.63086,84.90051,OZONE,12,13,13
India,Bihar,Munger,"Town Hall, Munger - BSPCB","21-02-2025 14:00:00",25.376776,86.471523,NO2,16,18,17
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","21-02-2025 14:00:00",26.11442,85.39813,NO2,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","21-02-2025 14:00:00",26.11442,85.39813,SO2,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","21-02-2025 14:00:00",24.762518,84.982348,NH3,3,4,3
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","21-02-2025 14:00:00",25.697189,85.245900,OZONE,8,116,42
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","21-02-2025 14:00:00",25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","21-02-2025 14:00:00",25.560083,87.553265,CO,2,72,2
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","21-02-2025 14:00:00",26.0881305,87.93840336,PM10,76,252,136
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","21-02-2025 14:00:00",26.181742,91.78063,NO2,3,3,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","21-02-2025 14:00:00",26.181742,91.78063,SO2,16,18,17
India,Assam,Silchar,"Tarapur, Silchar - PCBA","21-02-2025 14:00:00",24.82827,92.79525,PM10,58,67,62
India,Assam,Silchar,"Tarapur, Silchar - PCBA","21-02-2025 14:00:00",24.82827,92.79525,NH3,1,3,2
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","21-02-2025 14:00:00",16.5150833,80.5181667,SO2,12,15,14
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","21-02-2025 14:00:00",14.675886,77.593027,PM10,56,130,80
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","21-02-2025 14:00:00",14.675886,77.593027,NH3,4,7,6
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","21-02-2025 14:00:00",16.536107,80.594233,SO2,4,67,9
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","21-02-2025 14:00:00",16.509717,80.612222,PM2.5,57,84,70
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","21-02-2025 14:00:00",26.11442,85.39813,OZONE,19,52,39
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","21-02-2025 14:00:00",26.1403345,85.3650192,PM10,NA,NA,NA
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","21-02-2025 14:00:00",26.1209,85.3647,SO2,3,9,4
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","21-02-2025 14:00:00",26.1209,85.3647,CO,14,55,20
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","21-02-2025 14:00:00",25.586562,85.043586,PM10,151,240,190
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","21-02-2025 14:00:00",25.586562,85.043586,SO2,4,7,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","21-02-2025 14:00:00",25.586562,85.043586,OZONE,2,64,28
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","21-02-2025 14:00:00",25.592539,85.227158,NH3,8,9,9
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","21-02-2025 14:00:00",25.592539,85.227158,SO2,6,14,8
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","21-02-2025 14:00:00",30.719859,76.738637,SO2,10,26,16
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","21-02-2025 14:00:00",21.194815,81.314770,NO2,17,124,57
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","21-02-2025 14:00:00",21.194815,81.314770,NH3,2,6,4
